"item","family","group","qnty.sold","revenue","date"
"Fanta","Softdrinks","BEVERAGE","2",8,"2015-11-15"
"FERRARELLE WATER 500ML","Water","BEVERAGE","1",8,"2015-11-15"
"FUN PLASTIC PLATE FUCHSIA 10PCS","CS Disposable","NON FOOD","1",8,"2015-11-15"
"LAYS 40GM TOMATO KETCHUP","CS Chips & Snacks","FOOD","4",8,"2015-11-15"
"LAYS CHEESE & ONION 40G","CHIPS","FOOD","2",8,"2015-11-15"
"LEMON DRIZZLE CAKE","Dessert","FOOD","1",8,"2015-11-15"
"LEMON PACKET","CS Fresh Fruit","FOOD","1",8,"2015-11-15"
"MANGO ICED TEA","Tea","FOOD","1",8,"2015-11-15"
"Mountain Dew","Softdrinks","BEVERAGE","2",8,"2015-11-15"
"OAT COOKIE","PASTRIES","FOOD","1",8,"2015-11-15"
"PASSION FRUIT ICED TEA","Tea","FOOD","1",8,"2015-11-15"
"Pepsi Light","Softdrinks","BEVERAGE","5",8,"2015-11-15"
"PLAIN AU RAISIN","PASTRIES","FOOD","1",8,"2015-11-15"
"POKKA PEACH ICED TEA CAN","Packet Juice","BEVERAGE","2",8,"2015-11-15"
"RASPBERRY ICED TEA","Tea","FOOD","1",8,"2015-11-15"
"SMINT CANDY GUM PEPPERMINT 14.2G","CS Mint & Gum","FOOD","2",8,"2015-11-15"
"TEA BAG MOROCCAN","Tea","FOOD","1",8,"2015-11-15"
"THE BERRY CO BLACK TEA ELDERFLOW","Packet Juice","BEVERAGE","1",8,"2015-11-15"
"THE BERRY CO GOJI BERRY JUICE","Packet Juice","BEVERAGE","1",8,"2015-11-15"
"THE BERRY CO POMEGRANTE JUICE","Packet Juice","BEVERAGE","1",8,"2015-11-15"
"AlwaysUltraFreshExLong7","CS Sanitary Care","NON FOOD","1",7.5,"2015-11-15"
"AlwaysUltraNightFresh6","CS Sanitary Care","NON FOOD","1",7.5,"2015-11-15"
"BAYARA SALTED PISTACHIOS 50GM","CS Dry Fruits","FOOD","2",7.5,"2015-11-15"
"BEST 30GM SALTED PEANUTS","CS Nuts & Seeds","FOOD","5",7.5,"2015-11-15"
"CROISSANT ZATAR","CS Bakery","FOOD","3",7.5,"2015-11-15"
"KOKA PILLOW 5 PCS BEEF","CS Pasta & Noodles","FOOD","1",7.5,"2015-11-15"
"KOKA PILLOW 5 PCS MUSHROOM","CS Pasta & Noodles","FOOD","1",7.5,"2015-11-15"
"BARILLA PASTA SPAGHETTI NO.3 500","CS Pasta & Noodles","FOOD","1",7.25,"2015-11-15"
"AL AIN FRESH MILK 1L SKIMMED","CS Dairy","FOOD","1",7,"2015-11-15"
"ALMARAI MILK FAT FREE1L","CS Dairy","FOOD","1",7,"2015-11-15"
"AMLacto Free Milk 1L","CS Dairy","FOOD","1",7,"2015-11-15"
"BREAD ROLL ENGLISH BROWN","CS Bakery","FOOD","2",7,"2015-11-15"
"BUN BREAD PLAIN 4"" 6 PCS","CS Bakery","FOOD","2",7,"2015-11-15"
"CAPRISUN APPLE","CS Packet Juice","BEVERAGE","7",7,"2015-11-15"
"FUNCLRPLSTCTUMBLR8","CS Disposable","NON FOOD","1",7,"2015-11-15"
"KNOR BASIL-THYM SALAD SEASNING 1","CS Packet Food","FOOD","1",7,"2015-11-15"
"KOKA CUP SEAFOOD","CS Pasta & Noodles","FOOD","2",7,"2015-11-15"
"KOKA CUP SPICY SHRIMP","CS Pasta & Noodles","FOOD","2",7,"2015-11-15"
"ORAL B BRUSH CLASSIC","CS Oral Care","NON FOOD","2",7,"2015-11-15"
"PLAIN AU CHOCOLATE","PASTRIES","FOOD","1",7,"2015-11-15"
"ALMARAI SANDWICH SLICE CHEESE 20","CS Dairy","FOOD","1",6.75,"2015-11-15"
"LIPTON GREEN TEA CLASSIC TEA BAG","CS Tea","FOOD","1",6.75,"2015-11-15"
"A/G Leaf Spinach Tin 425g","CS Can & Jar Food","FOOD","1",6.5,"2015-11-15"
"AL RABIE ORANGE PEACH 330ML","Fresh Juices","BEVERAGE","2",6.5,"2015-11-15"
"BOGUTTI AMERICAN COOKIES RAISINS","Biscuit & Cookies","FOOD","1",6.5,"2015-11-15"
"CORNETTO I/C LOVE COOKIE","CS Ice Cream","FOOD","1",6.5,"2015-11-15"
"LAYS SALT 185GM","CS Chips & Snacks","FOOD","1",6.25,"2015-11-15"
"7 UP PET 500ML","Softdrinks","BEVERAGE","1",6,"2015-11-15"
"AL AIN PINEAPPLE YOGHURT 125GM","CS Dairy","FOOD","3",6,"2015-11-15"
"AlmaFrshLabLwFat","CS Dairy","FOOD","3",6,"2015-11-15"
"AlmaLabFFat360ml","CS Dairy","FOOD","2",6,"2015-11-15"
"BAHLSEN LEIBNIZ MINIS CHOCO 100G","Biscuit & Cookies","FOOD","1",6,"2015-11-15"
"BUTTER SHORT BREAD","PASTRIES","FOOD","1",6,"2015-11-15"
"Chicken Tikka","Pizza","FOOD","1",6,"2015-11-15"
"CHOCOLATE CHIP COOKIE","PASTRIES","FOOD","1",6,"2015-11-15"
"Extra Cheese","Cheese","FOOD","2",6,"2015-11-15"
"HONEY & MUSTARD SAUCE","Extras","FOOD","3",6,"2015-11-15"
"Jalapenos","Pizza","FOOD","1",6,"2015-11-15"
"LACNOR MILK STRAWBERRY 180ML","CS Packet Juice","BEVERAGE","4",6,"2015-11-15"
"Mini Muffins","Extras","FOOD","2",6,"2015-11-15"
"NATURE VALLEY APPLE CRIS","CS Cereal","FOOD","2",6,"2015-11-15"
"NATURE VALLEY ROASTED ALMOND","CS Cereal","FOOD","2",6,"2015-11-15"
"Peppers","Pizza","FOOD","1",6,"2015-11-15"
"PEPSI DIET CAN 335ML","CS Soft Drinks","BEVERAGE","4",6,"2015-11-15"
"SCHWEPPES BITTER LEMON 300M","CS Soft Drinks","BEVERAGE","4",6,"2015-11-15"
"SPRITE PET 500ML","Softdrinks","BEVERAGE","1",6,"2015-11-15"
"BAHLSEN LEIBNIZ MINIS BUTTER 100","Biscuit & Cookies","FOOD","1",5.5,"2015-11-15"
"BAHLSEN LEIBNIZ ZOO 100GM","Biscuit & Cookies","FOOD","1",5.5,"2015-11-15"
"COLGATE TP 125ML","CS Oral Care","NON FOOD","1",5.5,"2015-11-15"
"GROWERS PACKET GARLIC PEANUTS","CS Nuts & Seeds","FOOD","1",5.5,"2015-11-15"
"A/G IODIZED SALT 26OZ","CS Can & Jar Food","FOOD","2",5,"2015-11-15"
"AM ALPHONSO MANGO300ml","CS Packet Juice","BEVERAGE","2",5,"2015-11-15"
"BEETROOT PACKET","CS Fresh Vegatables","FOOD","1",5,"2015-11-15"
"Castania Fried Peanut 60g","CS Nuts & Seeds","FOOD","1",5,"2015-11-15"
"Castania Peanut 60g","CS Nuts & Seeds","FOOD","1",5,"2015-11-15"
"CLOROX HEAVY DUTY SCOURER 1PCS","CS Cleaning Supplies","NON FOOD","2",5,"2015-11-15"
"COKE LARGE 2.25L","CS Soft Drinks","BEVERAGE","1",5,"2015-11-15"
"COKE LIGHT LARGE 2.25L","CS Soft Drinks","BEVERAGE","1",5,"2015-11-15"
"CORNETTO I/C CLASSICO CHOCOLATE","CS Ice Cream","FOOD","1",5,"2015-11-15"
"DOUGHNUT CHOCOLATE","CS Bakery","FOOD","2",5,"2015-11-15"
"FANTA LARGE 2.25L","CS Soft Drinks","BEVERAGE","1",5,"2015-11-15"
"Kit Kat","Chocolate","FOOD","1",5,"2015-11-15"
"LAYS FORNO BLACK PEPPER 43G","CHIPS","FOOD","1",5,"2015-11-15"
"LAYS FORNO CHEESE 43GM","CS Chips & Snacks","FOOD","2",5,"2015-11-15"
"SCHOGETTEN HAZELNUT100G","CS Chocolate","FOOD","1",5,"2015-11-15"
"SCHOGETTEN KIDS 100GM","CS Chocolate","FOOD","1",5,"2015-11-15"
"SCHOGETTEN STARCIA 100GM","CS Chocolate","FOOD","1",5,"2015-11-15"
"VASELINE PETROLEUM JELLY 60ML","CS Body Care","NON FOOD","1",5,"2015-11-15"
"7 UP CAN 355 ML","CS Soft Drinks","BEVERAGE","3",4.5,"2015-11-15"
"AL MARAI YOGHURT FULL CREAM 170G","CS Dairy","FOOD","3",4.5,"2015-11-15"
"BAHLSEN LEIBNIZ","Biscuit & Cookies","FOOD","1",4.5,"2015-11-15"
"COKE CAN 300ML","CS Soft Drinks","BEVERAGE","3",4.5,"2015-11-15"
"KNORR PACKET GOURMET WHITE GREEN","CS Packet Food","FOOD","1",4.5,"2015-11-15"
"MUDHISH CHIPS CHEESE RIPPLES 15G","CS Chips & Snacks","FOOD","6",4.5,"2015-11-15"
"SCHWEPPES TONIC WATER CAN 300M","CS Soft Drinks","BEVERAGE","3",4.5,"2015-11-15"
"7 Up","Softdrinks","BEVERAGE","1",4,"2015-11-15"
"A/G TOMATOES CRUSHED 15OZ","CS Can & Jar Food","FOOD","1",4,"2015-11-15"
"Activia Yoghurt","CS Dairy","FOOD","2",4,"2015-11-15"
"Add Mini PastryCombo","Dessert","FOOD","4",4,"2015-11-15"
"ADD SOYA MILK","Starbucks","FOOD","2",4,"2015-11-15"
"BBQ SAUCE","Extras","FOOD","2",4,"2015-11-15"
"BEACON MARSHMALLOWS WHITE 150GM","CS Packet Food","FOOD","1",4,"2015-11-15"
"CAPRISUN STRAWBERY","CS Packet Juice","BEVERAGE","4",4,"2015-11-15"
"Coke Zero","Softdrinks","BEVERAGE","1",4,"2015-11-15"
"CROISSANT BUTTER CHEESE","CS Bakery","FOOD","1",4,"2015-11-15"
"EXTRA CHEDDAR","Cheese","FOOD","1",4,"2015-11-15"
"EXTRA PROTEIN","TOPPINGS","FOOD","1",4,"2015-11-15"
"GLASS OF MILK","Milk","FOOD","1",4,"2015-11-15"
"Khubus Bread","Breakfast","FOOD","2",4,"2015-11-15"
"KNORR PACKET CREAM OF CHICKEN SO","CS Packet Food","FOOD","1",4,"2015-11-15"
"KNORR PACKET LENTIL SOUP","CS Packet Food","FOOD","1",4,"2015-11-15"
"Lacnor Full Fat Milk 1L","CS Dairy","BEVERAGE","1",4,"2015-11-15"
"Lacnor Low Fat Milk 1L","CS Dairy","BEVERAGE","1",4,"2015-11-15"
"LAYS 40GM FRENCH CHEESE","CS Chips & Snacks","FOOD","2",4,"2015-11-15"
"LAYS CHILLI 40G","CHIPS","FOOD","1",4,"2015-11-15"
"LAYS SALT 40G","CHIPS","FOOD","1",4,"2015-11-15"
"SMINT CANDY GUM BLACKBERRY 14.2G","CS Mint & Gum","FOOD","1",4,"2015-11-15"
"SMINT CANDY GUM STRAWBERRY 14.2G","CS Mint & Gum","FOOD","1",4,"2015-11-15"
"SPRITE PET 500ML","CS Soft Drinks","BEVERAGE","2",4,"2015-11-15"
"STILL WATER REG","Water","BEVERAGE","2",4,"2015-11-15"
"FUNPLSTCKNIFE6.5","CS Disposable","NON FOOD","1",3.5,"2015-11-15"
"LUX BAR WAKE ME UP 120GM","CS Soap & Handwash","NON FOOD","1",3.5,"2015-11-15"
"WALKERS SB FINGERS 40G","Biscuit & Cookies","FOOD","1",3.5,"2015-11-15"
"INDOMIE CUP TOMATO NOODLES","CS Pasta & Noodles","FOOD","1",3.25,"2015-11-15"
"BEST 30GM SALTED PISTACHIO","CS Nuts & Seeds","FOOD","1",3,"2015-11-15"
"GALAXY HAZELNUT 40GM","CS Chocolate","FOOD","1",3,"2015-11-15"
"Lacnor Cocktail180ML","Fresh Juices","FOOD","2",3,"2015-11-15"
"MANI 20G PEANUTS SPICY PAPRIKA","CS Dry Fruits","FOOD","2",3,"2015-11-15"
"MOUNTAIN DEW CAN 335ML","CS Soft Drinks","BEVERAGE","2",3,"2015-11-15"
"MUDHISH CHIPS CHILLI RIPPLES 15G","CS Chips & Snacks","FOOD","4",3,"2015-11-15"
"POKKA LEMON ICED TEA 330ML","CS Soft Drinks","BEVERAGE","1",3,"2015-11-15"
"Roasted Almond","Cereal Bar","FOOD","1",3,"2015-11-15"
"SCHWEPPES SODA CAN 300M","CS Soft Drinks","BEVERAGE","2",3,"2015-11-15"
"UAE STICK FLAG SMALL 1PCS","CS Festival Non Food","NON FOOD","1",2.75,"2015-11-15"
"AL MARAI POMPEGRANATE 300ML","CS Packet Juice","BEVERAGE","1",2.5,"2015-11-15"
"AL MARAI STRAWBERRY 300ML","CS Packet Juice","BEVERAGE","1",2.5,"2015-11-15"
"AL RABIE MANGO 330ML","CS Packet Juice","BEVERAGE","1",2.5,"2015-11-15"
"AL RABIE PINEAPPLE 330ML","CS Packet Juice","BEVERAGE","1",2.5,"2015-11-15"
"MENTOS CHEWY RAINBOW 30GM","CS Mint & Gum","FOOD","2",2.5,"2015-11-15"
"SALT 1KG IODIZED","CS Coocking & Baking","FOOD","1",2.25,"2015-11-15"
"AL AIN STRAWBERRY YOGHURT 125GM","CS Dairy","FOOD","1",2,"2015-11-15"
"CAPRISUN MIXED FRUIT","CS Packet Juice","BEVERAGE","2",2,"2015-11-15"
"EXTRA PELLET STRAWBERRY GUM","Biscuit & Cookies","FOOD","1",2,"2015-11-15"
"SAFETY MATCH STICK BOX 2PCS","CS Others","NON FOOD","4",2,"2015-11-15"
"SODA CAN","Water","BEVERAGE","1",2,"2015-11-15"
"FRUIT TELLA STRAWBERRY 39G","CS Mint & Gum","FOOD","1",1.75,"2015-11-15"
"SAFETY MATCH STICK BOX","CS Non Food","NON FOOD","1",1.75,"2015-11-15"
"COKE DIET CAN 330ML","CS Soft Drinks","BEVERAGE","1",1.5,"2015-11-15"
"Cremecaramel100g","CS Dairy","FOOD","1",1.5,"2015-11-15"
"LACNOR MILK CHOCOLATE 180ML","CS Packet Juice","BEVERAGE","1",1.5,"2015-11-15"
"Mirinda Orange355M","Softdrinks","FOOD","1",1.5,"2015-11-15"
"MENTOS CHEWY MINT 30GM","CS Mint & Gum","FOOD","1",1.25,"2015-11-15"
"MENTOS ICE SPEARMINT 10G","CS Mint & Gum","FOOD","1",1.25,"2015-11-15"
"CAPRISUN MANGO","CS Packet Juice","BEVERAGE","1",1,"2015-11-15"
"Open Food","Open Food","FOOD","15",19197.2,"2015-11-17"
"Stud Meal Combo","Main course","FOOD","204",6030,"2015-11-17"
"Open Beverage","Open Beverage","BEVERAGE","7",5312.5,"2015-11-17"
"GLOBAL STREET MAIN","Main course","FOOD","152",3952,"2015-11-17"
"Student Breakfast","Breakfast","FOOD","99",2970,"2015-11-17"
"CHICKEN MEAL","Main course","FOOD","96",2350,"2015-11-17"
"Buffet Lunch","Main course","FOOD","25",2250,"2015-11-17"
"MARINATED SALMON STEAK","Grill","FOOD","71",2130,"2015-11-17"
"Chicken Steak","Grill","FOOD","58",1392,"2015-11-17"
"SERCO LUNCH","SERCO LUNCH","FOOD","91",1365,"2015-11-17"
"VEGGIE MEAL","Veggie","FOOD","62",1364,"2015-11-17"
"Buffet Meal","Main course","FOOD","56",1210,"2015-11-17"
"Classic Angus Burger","Burgers","FOOD","39",1170,"2015-11-17"
"MEAT PLATTER","Main course","FOOD","35",1050,"2015-11-17"
"Slice of the Day","Pizza","FOOD","207",1035,"2015-11-17"
"FG LARGE BOWL","FEEL GOOD","FOOD","36",936,"2015-11-17"
"BEEF MEAL","Main course","FOOD","35",875,"2015-11-17"
"Teriyaki Salmon","Main course","FOOD","19",855,"2015-11-17"
"Chicken Caesar","Salads","FOOD","34",850,"2015-11-17"
"Take Away Box","Take Away Boxes","NON FOOD","283",849,"2015-11-17"
"FG MEDIUM BOWL","FEEL GOOD","FOOD","45",810,"2015-11-17"
"BLACK ANGUS CLUB 6 OZ","Burgers","FOOD","24",768,"2015-11-17"
"Bulgogi","Main course","FOOD","23",690,"2015-11-17"
"SERCO DINNER","SERCO DINNER","FOOD","46",690,"2015-11-17"
"Falafel Tomato & Hummus(V)","Sandwiches","FOOD","38",684,"2015-11-17"
"Two Eggs","Breakfast","FOOD","137",680,"2015-11-17"
"Smoked Salmon","Sandwiches","FOOD","26",650,"2015-11-17"
"7 OZ DOUBLE SHOT ICED SHAKEN","Starbucks","FOOD","46",644,"2015-11-17"
"BBQ Glazed Chicken","Sandwiches","FOOD","30",630,"2015-11-17"
"Margherita(V)","Pizza","FOOD","25",625,"2015-11-17"
"12 OZ CAFFE LATTE","Starbucks","FOOD","52",624,"2015-11-17"
"Five a Day","Fresh Juices","BEVERAGE","26",624,"2015-11-17"
"Masafi Water500ml","Water","BEVERAGE","618",615,"2015-11-17"
"Buffet Fruit Salad","Salads","FOOD","122",610,"2015-11-17"
"16 OZ CAFFE LATTE","Starbucks","FOOD","42",588,"2015-11-17"
"CHICKEN CEASAR SALAD","Salads","FOOD","18",576,"2015-11-17"
"Chicken Tikka","Sandwiches","FOOD","22",528,"2015-11-17"
"12 OZ CAFFE AMERICANO","Starbucks","FOOD","51",510,"2015-11-17"
"12 OZ CAPPUCHINO","Starbucks","FOOD","41",492,"2015-11-17"
"SMOKED TURKEY S/W","Sandwiches","FOOD","14",476,"2015-11-17"
"16 OZ ICED CARAMEL MACCHIATO","Starbucks","FOOD","25",451,"2015-11-17"
"Pad Vegetables","Main course","FOOD","15",450,"2015-11-17"
"SERCO BREAKFAST","SERCO BREAKFAST","FOOD","30",450,"2015-11-17"
"16 OZ CAPPUCHINO","Starbucks","FOOD","32",448,"2015-11-17"
"Side Salad","Salads","FOOD","109",436,"2015-11-17"
"Super Food Salad (V)","Salads","FOOD","18",432,"2015-11-17"
"CHICKEN ROCQUET CHEESE S/W","Sandwiches","FOOD","14",420,"2015-11-17"
"SWEET CHILLI SALMON SALAD","Sandwiches","FOOD","11",418,"2015-11-17"
"BUTTER FLY CHICKEN BREAST","Grill","FOOD","17",408,"2015-11-17"
"Chocolate Bar","Extras","FOOD","78",390,"2015-11-17"
"FRESH JUICE SMALL","Breakfast","FOOD","97",388,"2015-11-17"
"Dessert","Dessert","FOOD","94",372,"2015-11-17"
"SIMPLE SHAWARMA","Main course","FOOD","45",360,"2015-11-17"
"WALK IN LUNCH","WALK IN LUNCH","FOOD","36",360,"2015-11-17"
"Cereal Portion","Breakfast","FOOD","51",357,"2015-11-17"
"FRESH GREEN SALAD","Salads","FOOD","22",352,"2015-11-17"
"16 OZ CAFFE AMERICANO","Starbucks","FOOD","28",336,"2015-11-17"
"Fresh Fruit Pcs","Extras","FOOD","112",333,"2015-11-17"
"16 OZ ICED CAFFE LATTE","Starbucks","FOOD","22",326,"2015-11-17"
"LACNOR MILK CHOCOLATE","Flavoured Milk","BEVERAGE","81",324,"2015-11-17"
"GRILLED CHICKEN & BACON S/W","Sandwiches","FOOD","9",315,"2015-11-17"
"Extra Portion Grill","Main course","FOOD","26",312,"2015-11-17"
"CROISSANT MEDIUM","PASTRIES","FOOD","44",308,"2015-11-17"
"Smoked Turkey Ham Pasta","Salads","FOOD","14",308,"2015-11-17"
"4 OZ BURGER COMBO","Burgers","FOOD","8",304,"2015-11-17"
"12OZ WHITE CHOCOLATE MOCHA","Starbucks","FOOD","20",300,"2015-11-17"
"REUBENS S/W","Sandwiches","FOOD","10",300,"2015-11-17"
"Tenderloin Steak","Burgers","FOOD","11",300,"2015-11-17"
"Guest Meal Combo","Main course","FOOD","18",280,"2015-11-17"
"BRIE & TOMATO S/W","Sandwiches","FOOD","8",272,"2015-11-17"
"CEASAR CHICKEN WRAP","Wraps","FOOD","8",272,"2015-11-17"
"Fruit Salad","Yoghurt Pots","FOOD","22",264,"2015-11-17"
"16 OZ ICED CAFE AMERICANO","Starbucks","FOOD","20",260,"2015-11-17"
"Beef sausage","Breakfast","FOOD","49",240,"2015-11-17"
"CHICKEN STACK","Burgers","FOOD","8",240,"2015-11-17"
"Yoghurt","Yogurt","FOOD","58",232,"2015-11-17"
"FG SMALL BOWL","FEEL GOOD","FOOD","19",228,"2015-11-17"
"Go Large","Pizza","FOOD","28",224,"2015-11-17"
"Yogurt Muesli Honey","Yoghurt Pots","FOOD","14",224,"2015-11-17"
"LINDT EXCELLENCE 90% CACOA 100GM","CS Chocolate","FOOD","16",220,"2015-11-17"
"LINDT EXCELLENCE BLACK CURRANT 1","CS Chocolate","FOOD","16",220,"2015-11-17"
"Tuna Cheese Melt","Sandwiches","FOOD","10",220,"2015-11-17"
"CHUNKY MONKEY","Milk Shake","BEVERAGE","9",216,"2015-11-17"
"FYO SHAWARMA","Main course","FOOD","14",210,"2015-11-17"
"BLUEBERRY MUFFINS","Dessert","FOOD","17",204,"2015-11-17"
"CLEARLY SCRUMPTIOUS STRAWBERRY 3","CS Dry Fruits","FOOD","16",204,"2015-11-17"
"CROISSANT MINI","Dessert","FOOD","71",204,"2015-11-17"
"FG Juice Bottled","FEEL GOOD","FOOD","25",200,"2015-11-17"
"Yogurt Blueberry","Yoghurt Pots","FOOD","11",198,"2015-11-17"
"12 OZ CAFFE MOCHA","Starbucks","FOOD","13",195,"2015-11-17"
"Filter Coffee","Tea","FOOD","45",195,"2015-11-17"
"16 OZ VANILLA LATTE","Starbucks","FOOD","10",190,"2015-11-17"
"Filter Tea","Tea","FOOD","38",190,"2015-11-17"
"16 OZ ICED WHITE CHOCOLATE MOCHA","Starbucks","FOOD","10",183,"2015-11-17"
"12 OZ CARAMEL MACCHIATO","Starbucks","FOOD","12",180,"2015-11-17"
"16 OZ FRAPPUCINO CARAMEL","Starbucks","FOOD","9",180,"2015-11-17"
"Grilled Halloumi(V)","Sandwiches","FOOD","9",180,"2015-11-17"
"FRESH JUICE LARGE","Fresh Juices","FOOD","26",175,"2015-11-17"
"Salmon Salad","Salads","FOOD","7",175,"2015-11-17"
"16 OZ WHITE CHOCOLATE MOCHA","Starbucks","FOOD","10",170,"2015-11-17"
"Hash Browns","Breakfast","FOOD","43",168,"2015-11-17"
"PEACH & BASIL SMOOTHIE","Smoothies","BEVERAGE","7",168,"2015-11-17"
"ALPRO ALMOND MILK 1L","CS Dairy","FOOD","8",164,"2015-11-17"
"LACNOR APPLE 180ML","Fresh Juices","BEVERAGE","41",164,"2015-11-17"
"Digest dark200","Biscuit & Cookies","FOOD","12",162,"2015-11-17"
"OREO MINI CUP 115GM","CS Food","FOOD","17",161.5,"2015-11-17"
"Buffalo Chicken","Grill","FOOD","10",160,"2015-11-17"
"Hawaiian","Pizza","FOOD","5",160,"2015-11-17"
"LACNOR ORANGE 180ML","Fresh Juices","BEVERAGE","41",160,"2015-11-17"
"DOUBLE ESSPRESSO","Starbucks","FOOD","13",156,"2015-11-17"
"California Rolls(6Pcs)","Sushi","FOOD","7",154,"2015-11-17"
"COCA COLA CAN","Softdrinks","BEVERAGE","38",152,"2015-11-17"
"Meat Feast","Pizza","FOOD","4",152,"2015-11-17"
"Bagel S. Salmon","Sandwiches","FOOD","6",150,"2015-11-17"
"MAGNUM I/C ALMOND","CS Ice Cream","FOOD","20",150,"2015-11-17"
"Croissant","Breakfast","FOOD","21",147,"2015-11-17"
"Double Trouble","Milk Shake","BEVERAGE","6",144,"2015-11-17"
"Grilled Chicken Burger","Burgers","FOOD","6",144,"2015-11-17"
"Tandoori Chicken","Pizza","FOOD","4",144,"2015-11-17"
"MAGNUM I/C WHITE","CS Ice Cream","FOOD","19",142.5,"2015-11-17"
"Chicken Sweetcorn","Pre Packed Sandwiches","FOOD","14",140,"2015-11-17"
"JAYS POM PUNCH","Smoothies","BEVERAGE","5",140,"2015-11-17"
"Rocco","Pizza","FOOD","4",140,"2015-11-17"
"Soup","Extras","FOOD","23",138,"2015-11-17"
"CLASSIC FRIES","Main course","FOOD","27",135,"2015-11-17"
"GALLON WATER COUPON","CS Water","BEVERAGE","19",133,"2015-11-17"
"B.BAG OAK SMOK150g","CS Chips & Snacks","FOOD","11",132,"2015-11-17"
"Yoghurt","Yogurt","FOOD","11",132,"2015-11-17"
"AL AIN WATER 500ml","CS Water","BEVERAGE","130",130,"2015-11-17"
"FETA & ROAST VEG PANINI","Sandwiches","FOOD","5",130,"2015-11-17"
"Salmon Temaki (3 Pcs)","Sushi","FOOD","5",130,"2015-11-17"
"Yogurt Mango","Yoghurt Pots","FOOD","13",130,"2015-11-17"
"Yakisoba","Main course","FOOD","7",126,"2015-11-17"
"Valley Crunchy","Cereal Bar","FOOD","41",123,"2015-11-17"
"12 OZ HOT CHOCOLATE","Starbucks","FOOD","7",121,"2015-11-17"
"Chicken Nuggets","Extras","FOOD","12",120,"2015-11-17"
"Homemade Beef Burger","Burgers","FOOD","6",120,"2015-11-17"
"SWEET POTATO WEDGES","Main course","FOOD","12",120,"2015-11-17"
"THE 3RD DATE","Milk Shake","BEVERAGE","5",120,"2015-11-17"
"16 OZ ICED CHOCOLATE","Starbucks","FOOD","7",119,"2015-11-17"
"Walkers Short Bread40g","Biscuits","FOOD","34",119,"2015-11-17"
"AL AIN WATER 1.5L","CS Water","BEVERAGE","78",117,"2015-11-17"
"TAMRAH COCO DATES ZIPPER BAG 100","CS Dry Fruits","FOOD","13",117,"2015-11-17"
"BAYARA 1KG ALMOND","CS Nuts & Seeds","FOOD","2",115.5,"2015-11-17"
"Pesto Roasted Chicken","Sandwiches","FOOD","5",115,"2015-11-17"
"CHICKEN WRAP COMBO","Burgers","FOOD","3",114,"2015-11-17"
"EGG Mayo & Spring Onion","Sandwiches","FOOD","6",114,"2015-11-17"
"Mexican Melt","Pizza","FOOD","3",114,"2015-11-17"
"MAGNUM I/C CLASSIC","CS Ice Cream","FOOD","15",112.5,"2015-11-17"
"AMERICAN 4 OZ","Burgers","FOOD","4",112,"2015-11-17"
"CHUCKS MAN OH MANGO","Smoothies","BEVERAGE","4",112,"2015-11-17"
"NIVEA WIPES REFRESHING CLEANSING","CS Tissue & Toilet Rolls","NON FOOD","4",112,"2015-11-17"
"Pancakes","Breakfast","FOOD","38",111,"2015-11-17"
"Baked beans","Breakfast","FOOD","22",110,"2015-11-17"
"Chicken Tandoori","Pre Packed Sandwiches","FOOD","11",110,"2015-11-17"
"FARM FRESH EGGS WHITE 15PCS","CS Eggs","FOOD","10",110,"2015-11-17"
"Portion Protein","Main course","FOOD","11",110,"2015-11-17"
"MOROCCAN LAMB BURGER","Burgers","FOOD","3",108,"2015-11-17"
"PEPSI DIET CAN","Softdrinks","BEVERAGE","27",108,"2015-11-17"
"DDR OETKER PEPPRONI PIZZA","CS Frozen Food","FOOD","4",105,"2015-11-17"
"Isabella(V)","Pizza","FOOD","3",105,"2015-11-17"
"Egg Cress Mayonnaise","Pre Packed Sandwiches","FOOD","13",104,"2015-11-17"
"Pain an Raisin","Dessert","FOOD","13",104,"2015-11-17"
"POKKA PEACH ICED TEA CAN","Packet Juice","BEVERAGE","26",104,"2015-11-17"
"TEA BAG JASMINE GREEN","Tea","FOOD","13",104,"2015-11-17"
"TUNA NICOISE SALAD","Salads","FOOD","4",104,"2015-11-17"
"BJORG ORGANIC OAT FLAKES 500GM","CS Organic Food","FOOD","4",102,"2015-11-17"
"16 OZ FRAPPUCINO WHITE MOCHA","Starbucks","FOOD","5",100,"2015-11-17"
"Chicken Maki(6pcs)","Sushi","FOOD","5",100,"2015-11-17"
"EBI NIGIRI","Sushi","FOOD","20",100,"2015-11-17"
"ORAL B TP PRO EXPERT FRESH MINT","CS Oral Care","NON FOOD","4",100,"2015-11-17"
"SINGLE ESSPRESSO","Starbucks","FOOD","10",100,"2015-11-17"
"VEG BURGER","Burgers","FOOD","5",100,"2015-11-17"
"MAGNUM I/C DOUBLE CHOCOLATE","CS Ice Cream","FOOD","11",99,"2015-11-17"
"Castania Peanuts60g","Peannuts","FOOD","14",98,"2015-11-17"
"PAPER BAG","BAGS","NON FOOD","97",97,"2015-11-17"
"LINDT EXCELLENCE 85% CACOA 100GM","CS Chocolate","FOOD","7",96.25,"2015-11-17"
"COCA COLA ZERO CAN","Softdrinks","BEVERAGE","24",96,"2015-11-17"
"COCONUT WATER CAN","Packet Juice","BEVERAGE","24",96,"2015-11-17"
